,doc_0,doc_1,doc_2,doc_3,doc_4,doc_5,doc_6,doc_7,doc_8,doc_9,doc_10,doc_11,doc_12,doc_13,doc_14,doc_15,doc_16,doc_17,doc_18,doc_19,doc_20,doc_21,doc_22,doc_23,doc_24,doc_25,doc_26,doc_27,doc_28,doc_29,doc_30,doc_31,doc_32,doc_33,doc_34,doc_35,doc_36,doc_37,doc_38,doc_39,doc_40,doc_41,doc_42,doc_43,doc_44,doc_45,doc_46,doc_47,doc_48,doc_49,doc_50,doc_51,doc_52,doc_53,doc_54,doc_55,doc_56,doc_57,doc_58,doc_59,doc_60,doc_61,doc_62,doc_63,doc_64,doc_65,doc_66,doc_67,doc_68,doc_69,doc_70,doc_71,doc_72,doc_73,doc_74,doc_75,doc_76,doc_77,doc_78,doc_79,doc_80,doc_81,doc_82,doc_83,doc_84,doc_85,doc_86,doc_87,doc_88,doc_89,doc_90,doc_91,doc_92,doc_93,doc_94,doc_95,doc_96,doc_97,doc_98,doc_99
doc_0,1.0,0.09919053039344063,0.06771765755926887,0.19632428566484894,0.09877665492120853,0.06744028568071561,0.01004735563407776,0.03863885498912095,0.025677110746962047,0.06232447714250183,0.01240961649905895,0.11321303282753754,0.07396827818092386,0.0,0.035413391788741144,0.04090516811476312,0.03283465164097265,0.027480476980131348,0.05723164602155482,0.05443292852579703,0.13249254086005013,0.08767086186256899,0.08684319627584439,0.048289086379607875,0.009768652367375239,0.06321369470587164,0.09989504602425645,0.0832909733345328,0.03851528573927892,0.07322359861599724,0.07376113867764983,0.019643559518034714,0.022156569854507577,0.0301296774446915,0.012414834847548085,0.021545496978046794,0.0,0.04368080139064147,0.0,0.1323425485125494,0.0,0.038894522374779444,0.1358459353832654,0.028540527171443484,0.0,0.08443137505339464,0.08335732206352778,0.05504994428248527,0.0,0.022097522133885338,0.01387498572347712,0.08714329798958212,0.028974211968974706,0.08171122575116735,0.042651345868632146,0.1533181788960508,0.028751812130477217,0.10004361568619723,0.0,0.039407120382530934,0.08023703541966784,0.0,0.013107215306914412,0.02042100040670877,0.08572712960201577,0.027976892698226626,0.06723713382901139,0.061457145386844866,0.0628904057646933,0.0,0.1539688285579765,0.08073130231356097,0.044675484746006425,0.0940615901200275,0.06608469462553039,0.0,0.040931382769229877,0.0,0.042977414451392054,0.07148756322724721,0.023129544281039128,0.0,0.09519611720809158,0.03440370660052726,0.0,0.04732905817408348,0.04110847036037801,0.03817725057498031,0.034044524340560656,0.014661645556015557,0.05213569679005595,0.017017019228089875,0.08684566157498684,0.12619047884872103,0.038800743299514995,0.0,0.0,0.03975667468386528,0.0384935870972399,0.07398500309921488
doc_1,0.09919053039344063,1.0,0.06395229969424496,0.04225496330628702,0.04711712457246012,0.0677898266882346,0.04159412395772309,0.11430252211183245,0.039355721886225346,0.1700662507403716,0.04247764533766232,0.018687557579613573,0.05437152067957051,0.02640831965397996,0.05174336809181669,0.08201392895739551,0.0,0.06688359948128081,0.07888507709604427,0.08651448775905579,0.1120354113388019,0.04722291422354704,0.01865374201750704,0.14043716110115545,0.0,0.1130571852754236,0.013929233897524484,0.03917314581874777,0.06310103536049161,0.0066142932585041975,0.06782608107047866,0.07214422410929221,0.01633237373579326,0.08042801584473062,0.006903397703168792,0.016930040812276774,0.11705220919848316,0.023799665416543065,0.029408600411412546,0.018124844358568905,0.0,0.06560231334731369,0.0792454448659777,0.020836327940767937,0.012466863666508945,0.022260814872500423,0.05558239018932029,0.14379140068390736,0.01780266994182924,0.0891370883250871,0.01869902590948249,0.008120512943702628,0.13335647045325347,0.054580892091752736,0.028740160075349817,0.06379725830896865,0.014913908465452083,0.0,0.0,0.010056146935781276,0.0842276758373792,0.0,0.02543821353463862,0.08403917149326472,0.05776632313434683,0.02567928113240895,0.03066956168117034,0.1380981955876499,0.06155988391630643,0.07123376803257266,0.12168836556861379,0.13194622810840143,0.11966986502926164,0.13811102788022622,0.05305207084977304,0.0,0.09588030196616262,0.0,0.16318755198654342,0.059341066831714924,0.0,0.10624065322451313,0.04076137438544229,0.104729382121095,0.019417285864264333,0.06638148456421189,0.06140705749876836,0.05615514067113092,0.07796141565998957,0.04739411688762342,0.11242942942372974,0.0,0.01525225474523154,0.05805605984329513,0.07764432881083075,0.0,0.03241742864486785,0.07837726413119861,0.0,0.03612731217920056
doc_2,0.06771765755926887,0.06395229969424496,1.0,0.1181655846476004,0.04275578919276279,0.04442681604772132,0.15197589496871633,0.08612653111100914,0.14076143616040154,0.05759473690314061,0.07019418406290655,0.05066143565725186,0.0829061907007628,0.01151820516771336,0.07247919190876408,0.13637825150026003,0.0,0.045675715740984224,0.05606777379393291,0.04504599298893164,0.09221509157335556,0.07549801856349174,0.04045340346544639,0.009354044457669804,0.031948070770119186,0.049166584566093366,0.08570510472804335,0.051123681852910274,0.0,0.009520039901350455,0.10773719033854989,0.014197819614734932,0.07174444660440651,0.0419038414127739,0.06977934917484238,0.03520985174788581,0.08868386215891436,0.0,0.04922562252678443,0.04049685691957891,0.054444723155716204,0.11510023753042715,0.02234394598352209,0.008954606810406295,0.0,0.0065135981045987895,0.07640477127049006,0.05655339085343263,0.0,0.06341433593072034,0.0246062730611783,0.039193637367089265,0.06969927091691004,0.13966733092765007,0.12657038634059942,0.10072419060801038,0.0600056498381302,0.0539179954280944,0.012210993431376646,0.027545015186150733,0.04470120071446788,0.07460197258291314,0.02845935809986191,0.0430514793630504,0.10626941650960638,0.056100023337786645,0.024562234784456762,0.027503352302970994,0.05786964235676901,0.05013390313574194,0.02105463025626409,0.038297325383153405,0.030138075716448706,0.021555591831883925,0.04327882042725902,0.03948279951964545,0.05714616033452104,0.028753776856437735,0.06465643980388017,0.0389618318369576,0.058837252173362296,0.046779589415697834,0.01804330017372934,0.0,0.01326207441775181,0.10969267491709946,0.03613399689221774,0.023884487340454716,0.005668957233044164,0.05667602551536363,0.06664643330180987,0.038222706163915814,0.0,0.12683660864130708,0.01970404507241996,0.0,0.055007823307396626,0.07346147038614279,0.0,0.03610469104529038
doc_3,0.19632428566484894,0.04225496330628702,0.1181655846476004,1.0,0.11809933149958904,0.12384037926607393,0.039549258064980775,0.05326475461532888,0.08258546473891594,0.0676902484819196,0.03570879077697333,0.12063012948844364,0.14701789184613637,0.011660583940962513,0.061003103892459984,0.05569301386067786,0.041322800740351134,0.10421309708493548,0.0603004789287114,0.054577496021795846,0.10105945535295555,0.061387935129904606,0.08531123368719004,0.07454678090585731,0.07012663857234877,0.061631631812414316,0.08858552002661814,0.04460449791463184,0.07137435527070968,0.11461521265915042,0.14087317367857086,0.08816451912114956,0.04405814693942617,0.08278283802510372,0.04862410815420104,0.012394672868059033,0.026849491024930304,0.09677563397522018,0.06504272575274332,0.0,0.15834971662869807,0.14535083330261034,0.06545494827968704,0.012785447672767201,0.11854771355848508,0.06293024783747768,0.031691653755471894,0.06368032739173093,0.10525306456273181,0.03524869347106377,0.090022205745451,0.0,0.08172141006015882,0.06411780632230304,0.1881432664882802,0.06591380432109387,0.102568503775572,0.0556707608179047,0.04526445669391272,0.0054884557275021945,0.17669951262581474,0.11017239285406843,0.004664829268625282,0.0960187794501712,0.0467295852451738,0.06159299358329593,0.04795160784715857,0.030501209767246514,0.0714343371680031,0.0,0.06016927865670493,0.040903183200568856,0.056700058392458924,0.04026245660663732,0.07033362854979795,0.047688975286248284,0.06117587815004779,0.030865483380789146,0.07033691891878223,0.029356536872053127,0.0032213843222114596,0.16962160184653746,0.11364993982023824,0.0323008452023727,0.007857352150551063,0.07060269267657,0.07079638936428204,0.05264439636437329,0.04160847659927763,0.04772260335336372,0.0,0.13945485458890605,0.055268276048340656,0.06672388719876558,0.04421672775317953,0.007201218189675272,0.0,0.0064685175927252855,0.0,0.0036513631440883627
doc_4,0.09877665492120853,0.04711712457246012,0.04275578919276279,0.11809933149958904,1.0000000000000002,0.07270328796807615,0.025068281780995943,0.08113902525093625,0.07437481830602745,0.08568288284741868,0.030766204303421273,0.08764970952055498,0.09140867901155493,0.07245244096553663,0.028761216276476168,0.0864798117463744,0.025162557187288024,0.05248434027333439,0.04158676026132952,0.14315152180291443,0.10302249789919837,0.010992513903086117,0.11277748641345073,0.11840316880266165,0.02893118211831692,0.12212614242093342,0.02866074040734336,0.05298546009226783,0.06687748735250468,0.012118270821449544,0.16890134539148416,0.06074760675812167,0.05468310338130079,0.14889465769100305,0.11861196499227608,0.06159183068469817,0.04608920846151663,0.027686403121167786,0.04802065075958824,0.0,0.06367046946527838,0.06590492159459559,0.04973599463642267,0.07966027567843781,0.04718354319295763,0.07482590693581438,0.040034595637058495,0.046050509180526694,0.0736219743533066,0.09644369135908096,0.10633861080027798,0.0,0.10451754968102536,0.07371181975441088,0.14336836079104173,0.05995429305007005,0.04052618137705713,0.0,0.02316949330331101,0.018424207579759846,0.10750316012001082,0.019689628852827767,0.02348906150557734,0.10227079746531176,0.07843331725889567,0.023098885741122628,0.03576877609528986,0.03391519229335388,0.0626699443045799,0.0,0.05508515105223797,0.09984327603764737,0.14228031539668498,0.09029481144402632,0.00779639965963436,0.0,0.09406185306870331,0.04463509042073392,0.04578202018761929,0.05431955443249152,0.02807235228744881,0.0,0.0978902117657928,0.2031706757672615,0.10117023503222741,0.08067618982843172,0.07825894907477296,0.26826476586443115,0.07468412353573074,0.03724279112567242,0.12101915625933085,0.07586286237173621,0.1367460322936233,0.05968884965251812,0.02790230863018,0.16247822366466666,0.0,0.05020789267223904,0.0,0.10538114109522592
doc_5,0.06744028568071561,0.0677898266882346,0.04442681604772132,0.12384037926607393,0.07270328796807615,1.0000000000000002,0.12077442920326374,0.03838977971680912,0.037722363623962224,0.1413217802618734,0.08720929130679492,0.05861216253815654,0.059549055235967666,0.10535478516611994,0.1335748552284829,0.12438319909576454,0.09100582901565607,0.15132266771464445,0.141830845873613,0.11451542034677879,0.028988749263125207,0.05838762559372658,0.12442514128013644,0.12467548637323006,0.08493079542461238,0.09517289525994482,0.07396844353063978,0.09400178131869685,0.08607021607055428,0.05325924111805143,0.0814445349727797,0.027639163578732088,0.04276028689217712,0.09485405891092887,0.04946481366896592,0.06638799866660719,0.028523203853440295,0.08245142681619493,0.042401152660208795,0.08434591247650731,0.0353605049186418,0.06051858609918881,0.06182737505107169,0.04192154957707375,0.03045861767043173,0.05995788863111829,0.10512674844755682,0.10502755121552171,0.005224827697261276,0.07847890740286109,0.08023897181986518,0.011306953419831421,0.08576708172017336,0.03312878723149164,0.004943915436436113,0.05334422076864974,0.09380073606298418,0.03357329224875312,0.08844705104658444,0.013134542763168246,0.09310007237652453,0.00759205939406769,0.030688550378211353,0.06498202711694154,0.013300850746874477,0.06708662507036633,0.04205764615376653,0.08942397376860638,0.06464204256682479,0.0075002070633808805,0.05594071808127906,0.040189947262717435,0.11040823049393658,0.06192872460885834,0.056312482575510005,0.04065164781274784,0.07102066681364257,0.02542565397290606,0.12940307909845003,0.11074099909665211,0.06574612928019215,0.06603922287632874,0.11225946408152536,0.07714106486813245,0.15968541207352335,0.08452874587977553,0.112657111398924,0.04671685071621899,0.10725055970365502,0.11604820653131909,0.060824539316850654,0.02484980901616391,0.048455762378825526,0.08006808148435035,0.07593294095004609,0.0789687973122251,0.0,0.06255774528817226,0.0,0.011028548608929701
doc_6,0.01004735563407776,0.04159412395772309,0.15197589496871633,0.039549258064980775,0.025068281780995943,0.12077442920326374,1.0,0.08069251811290296,0.08553798573200973,0.08321491794377911,0.14569614311805418,0.0039933408825399246,0.08315818903360268,0.052684415358272764,0.3092757855836799,0.15423692058887833,0.06138526802524731,0.07043790174358759,0.10148222818425681,0.07391940543894061,0.07543399081029019,0.09081305541855708,0.060492466885462545,0.0810726940818329,0.17677327096613624,0.10223372164097748,0.033220063726558266,0.05524128941527461,0.05192529447739718,0.06280335381583425,0.07697623837891777,0.008870228027525079,0.0964930795485615,0.12444863897705653,0.05961777696174096,0.047768016323841714,0.06595892241122334,0.08724812376004978,0.06357875566271622,0.09304066516865934,0.03614983329652532,0.19525120263053108,0.0765098330066696,0.03859488294582336,0.12492841272159376,0.043456000867107276,0.11717802724017547,0.08730859768402481,0.06413948173099729,0.06573287891946697,0.0887391853288126,0.05106442814513119,0.06320351782872541,0.03907434422818279,0.05224570914891576,0.07980027945289392,0.03449320620099471,0.01593819311796163,0.07540233658305863,0.022793746925837858,0.0868806439164817,0.01719881267485786,0.03661962834273168,0.07112414395385377,0.01325657903723543,0.10127767239443007,0.02427456367020383,0.006664940817969516,0.05022261607079015,0.015299535073653336,0.08152906334996605,0.046929541537619024,0.062438445016459676,0.07272510342336988,0.07672209097608801,0.008005224160229418,0.08859422929406588,0.07630333627936706,0.07569105611363718,0.08458571408148687,0.1028650560208208,0.06522339598402939,0.11315159045932544,0.036131078062208374,0.027686106182378996,0.06548557123782317,0.05015825251391717,0.04101099296910248,0.12491433157708205,0.06681470389582687,0.004915882060391673,0.03264165738625207,0.10274410716251989,0.08652975332615993,0.08744195470449521,0.014328318214334761,0.06785828538963266,0.13457503878378108,0.025906960931490246,0.08373914093844459
doc_7,0.03863885498912095,0.11430252211183245,0.08612653111100914,0.05326475461532888,0.08113902525093625,0.03838977971680912,0.08069251811290296,1.0000000000000002,0.17405736213841644,0.06395850537775116,0.08423686076867395,0.05440941475601789,0.041104768326148296,0.02638432410799768,0.0665998238339301,0.09336418932784593,0.07078859736463872,0.10609566268120485,0.12408179543664559,0.08138344991010021,0.08149238805372767,0.12866515700127462,0.1326123190973634,0.1415778448130106,0.024097075375095395,0.09040194402008658,0.05522930256953683,0.10703316731372484,0.05531952228816745,0.05751467912281719,0.051033308836096886,0.10315199470757438,0.06374566953751835,0.09486935177142469,0.03660722004728455,0.09560887124335533,0.06495056457529674,0.03599648156106071,0.18190796768402528,0.005270348096875001,0.08605317378903844,0.14295794482227334,0.062102579151729814,0.10194175431669442,0.05110376259062645,0.04944137876072434,0.06786881178553417,0.1516144275425879,0.04146174589215177,0.11185156434278581,0.04878734596924435,0.03683974275347594,0.14049177263860474,0.043608165969578054,0.05943022081997196,0.10562768390538675,0.07654315170438175,0.111908233204156,0.02055935606332791,0.02432870273635955,0.09431798301145997,0.005969167942803665,0.05351622656692222,0.09770666473373393,0.0,0.061944528526097664,0.04781591392804604,0.04162228977499936,0.059071787132706284,0.03873067437086193,0.04777226300110462,0.08668921106112444,0.031251374296874974,0.0235843022674773,0.07857094073515476,0.030710788335958725,0.14219342992024092,0.08564867566413217,0.16460738187707014,0.1628429620131863,0.030695141457551568,0.11436064441548441,0.0966300649056508,0.16236082782704994,0.011994506874423933,0.14768917062477716,0.03552235625593132,0.053291657974371055,0.10791044483407232,0.09819997950692122,0.04935840619970722,0.0,0.0604113393154764,0.09041665848101453,0.11435921080258642,0.010992896770476168,0.07246409461504495,0.08741172820340735,0.0,0.04228903909702685
doc_8,0.025677110746962047,0.039355721886225346,0.14076143616040154,0.08258546473891594,0.07437481830602745,0.037722363623962224,0.08553798573200973,0.17405736213841644,1.0,0.04568918685593067,0.08984600958837409,0.13772832805993387,0.03481019752371417,0.035042741705624034,0.08623585909034368,0.05346979898398458,0.08598872400084914,0.06068789648448056,0.12714070340147712,0.11041996504853721,0.018501500970822427,0.16945320735244288,0.12120392626809953,0.17154475518700463,0.09212230797255352,0.14494245548682771,0.04898611341905563,0.06462216516699001,0.0548126942689496,0.05032947011916719,0.13866533701299358,0.053230689296744654,0.058282076667448175,0.16866029061713136,0.0679987309393058,0.12218403507623456,0.1412780107257367,0.10773832938623222,0.03977973963336461,0.1105756669003709,0.06979927799433777,0.0975933111355951,0.09086857206129531,0.08794788431093456,0.026297579296474513,0.1233468664596516,0.10893490905988559,0.13387810653348278,0.07768162181772974,0.09539641692951047,0.0740214969141488,0.07417317242403768,0.09582135533335379,0.07802063055881808,0.09059098569313828,0.048493356522120515,0.06778244185004788,0.024451708054835344,0.021022883815807903,0.0358866889480899,0.13453526279850309,0.03179714780730921,0.04097549710465303,0.12472753771720858,0.0,0.08092464823625516,0.04503549032824887,0.062167713842758654,0.09142566144293315,0.05778892905143547,0.11808645814336843,0.1278941407302822,0.13963739032302624,0.06761235946843443,0.07239137213324932,0.0605167116727005,0.16828645388779412,0.056627559764824795,0.1374547092410066,0.08994806653626891,0.0881946049693662,0.018011299864121862,0.16178817883490987,0.1274695572344642,0.03427535131345154,0.044299007474504895,0.042054030772603126,0.10780934612614876,0.10682634794472523,0.13608231165425008,0.019223246374447247,0.015563098235189662,0.10668080719320788,0.20485059336123818,0.06469782440091827,0.007853290733527415,0.0,0.05190880668639868,0.030066412588163637,0.10842701364773835
doc_9,0.06232447714250183,0.1700662507403716,0.05759473690314061,0.0676902484819196,0.08568288284741868,0.1413217802618734,0.08321491794377911,0.06395850537775116,0.04568918685593067,1.0,0.12010142972235988,0.06006636682170877,0.039058986217758294,0.06252242206508499,0.05849163716354954,0.05971599928599592,0.046595465113324894,0.07857364656201549,0.047293185249343984,0.14273515712518678,0.07297244550445676,0.009515819681447674,0.004707327293455735,0.03909890465591474,0.052728073534418295,0.095983633316324,0.04533119304226715,0.07706574673126296,0.163780204722062,0.052287575020647514,0.06658299756841295,0.02122177508654326,0.0,0.09409308268994858,0.05884947083186255,0.08372942315990975,0.16040176774156326,0.08832733109960117,0.046781869874353225,0.031224072287379556,0.014135759137397957,0.07897591546790421,0.09441896150615275,0.040039902920305216,0.02332906306908586,0.04722277171266278,0.05860449168270486,0.12581170808045927,0.0,0.04063215422360597,0.12924893974868734,0.0,0.07564938376242179,0.05277373926881258,0.027624142514705595,0.0446987210119585,0.08907816926438926,0.02500536174796793,0.0,0.023956203313968437,0.1328666033793518,0.02341352492887734,0.05248184833925926,0.07505178759353484,0.033303075069361934,0.09173904793625733,0.02263029496697881,0.09297875548006782,0.04031393957356682,0.07742145560365679,0.07041143075077508,0.04691475776740716,0.13610804500807044,0.12373345512449659,0.07678703020507852,0.0,0.05134598076140063,0.0785567926570153,0.07826949229401199,0.09240041226424694,0.045341042210165564,0.041065668293083585,0.08563844376194045,0.014908891208065976,0.04829944234124436,0.09345280246469266,0.052780190332311475,0.12956300278047683,0.08739693250903366,0.09205742218546573,0.0817715866018061,0.08882308193883555,0.01624407781880611,0.08449311552395311,0.06095141931541524,0.0,0.058437649571901076,0.12450665909631878,0.0945197953369466,0.08039877374166196
