resumen,oraciones_originales,palabras_clave,num_oraciones,id,genero,texto_original
"A veces... algunas veces necesito rebozarme por los lujosos fangos de un tipo de cine, entonces busco algo con lo que apreciar la vida ¿Qué vida? La de una policía que se enamoró de un millonario ladrón (¿LADRÓN Y MILLONARIO...? SI... os lo juro) Y comienza así por el mundo del arte moviéndonos entre aviones de lujo, hombres atractivos, además de su impresionante belleza que no aporta sentido a nada...¿Cómo valoro esto? Tiene una buena fotografía, carne humana espectacular, diálogos sonrojantes; si pudiese evitaría  puntuarla.","['A veces... algunas veces necesito rebozarme por los lujosos fangos de un tipo de cine, entonces busco algo con lo que apreciar la vida ¿Qué vida?', 'La de una policía que se enamoró de un millonario ladrón (¿LADRÓN Y MILLONARIO...?', 'SI... os lo juro) Y comienza así por el mundo del arte moviéndonos entre aviones de lujo, hombres atractivos, además de su impresionante belleza que no aporta sentido a nada...¿Cómo valoro esto?', 'Difícil.', 'Tiene una buena fotografía, carne humana espectacular, diálogos sonrojantes; si pudiese evitaría  puntuarla.', 'Diseñada para cierto público que la disfrutará en el silencio de su soledad....']","['veces', 'vida', 'millonario', 'ladron', 'necesito', 'rebozarme', 'lujosos', 'fangos', 'tipo', 'cine']",4,1709,Romance,"A veces... algunas veces necesito rebozarme por los lujosos fangos de un tipo de cine, entonces busco algo con lo que apreciar la vida ¿Qué vida?  La de una policía que se enamoró de un millonario lad..."
"Jun Hee (Jeon Yeo Been) perdió a su novio Yeon Joon (Ahn Hyo Seop) en un accidente aéreo. Min Ju tiene dos amigos, In Gyu (Kang Hoon) que esta enamorado de ella, y Si Heon, que tiene un gran parecido al novio fallecido de Jun Hee.Lo que si: preciosa serie, quizá al principio le falta ritmo pero después la historia te va atrapando.Los actores principales son: Jeon Yeo Been (Min Ju/Han Jun Hee) que realiza un excelente trabajo con las personalidades opuestas de sus personajes. Al igual que Si Heon sólo por la mirada vas a identificar a quién representa en cada momento.El buenazo de In Gyu medio soso y con cara de espanto del museo de cera, pero que se hace queribleAhn Hyo Yeop, como son Si Heon/Jeon Jun, cuyos personajes en la historia no son tan diferentes entre si, pero que está mas que correcto y que llora de a chorros como un emoticon.Las series de viajes en el tiempo suelen dejar cabos sueltos, no es así en esta que tiene coherecia y esta bien llevada. Tiene momentos emotivos y hay varias muertes (un personaje es flojito modo Byeon Woo Seok y se muere unas cuantas veces en las diversas líneas temporales).Los últimos 2 capítulos tienen un buen plot twist y el final me pareció excelentePor último, tiene sólo 12 capítulosLo que no: Los primeros capítulos son lentines pero si se le pone paciencia vale la pena.La maquilladora de Ahn Hyo Yeop le puso una base que se oxida, ergo esta naranja casi toda la serie.","['Jun Hee (Jeon Yeo Been) perdió a su novio Yeon Joon (Ahn Hyo Seop) en un accidente aéreo.', 'Un año después, en circunstancias misteriosas recibe un cassette y un walkman con los cuales viaja a 1998, donde toma el cuerpo de Min Ju, una joven físicamente muy parecida a ella.', 'Min Ju tiene dos amigos, In Gyu (Kang Hoon) que esta enamorado de ella, y Si Heon, que tiene un gran parecido al novio fallecido de Jun Hee.Lo que si: preciosa serie, quizá al principio le falta ritmo pero después la historia te va atrapando.Los actores principales son: Jeon Yeo Been (Min Ju/Han Jun Hee) que realiza un excelente trabajo con las personalidades opuestas de sus personajes.', 'Al igual que Si Heon sólo por la mirada vas a identificar a quién representa en cada momento.El buenazo de In Gyu medio soso y con cara de espanto del museo de cera, pero que se hace queribleAhn Hyo Yeop, como son Si Heon/Jeon Jun, cuyos personajes en la historia no son tan diferentes entre si, pero que está mas que correcto y que llora de a chorros como un emoticon.Las series de viajes en el tiempo suelen dejar cabos sueltos, no es así en esta que tiene coherecia y esta bien llevada.', 'Tiene momentos emotivos y hay varias muertes (un personaje es flojito modo Byeon Woo Seok y se muere unas cuantas veces en las diversas líneas temporales).Los últimos 2 capítulos tienen un buen plot twist y el final me pareció excelentePor último, tiene sólo 12 capítulosLo que no: Los primeros capítulos son lentines pero si se le pone paciencia vale la pena.La maquilladora de Ahn Hyo Yeop le puso una base que se oxida, ergo esta naranja casi toda la serie.', 'Importa?', 'Claro que no.', 'Tremendo bombón naranja.Dato: Aparece Rowoon en un mini papel BLOST: Muy bien 10 felicitado.', 'El tema con el cual vuelven en el tiempo, gather my tears es ADICTIVO.', 'Lo pasan un millón de veces y lo vas a querer escuchar siempre.', 'Hay un par más muy buenos como Beautiful restriction de New Jeans o Never got to say that I love you de Sondia.Recomendado para: fans de viajes en el tiempo y de gente naranja.']","['jun', 'hee', 'jeon', 'hyo', 'min', 'heon', 'tiempo', 'naranja', 'yeo', 'been']",4,4108,Romance,"Jun Hee (Jeon Yeo Been) perdió a su novio Yeon Joon (Ahn Hyo Seop) en un accidente aéreo. Un año después, en circunstancias misteriosas recibe un cassette y un walkman con los cuales viaja a 1998, don..."
"Las actuaciones de los chicos son muy buenas, la de ella tengo que admitir que me sacó un poco de quicio. Al interpretar a dos mujeres diferentes exagera mucho cada una para que la distinción entre ellas sea obvia, pero dios mío, a veces la habría matado para insuflarle un poco de espíritu.Aparte de eso, la historia es conmovedora y te engancha, porque hasta más de la mitad de los capítulos no sabes muy bien qué está pasando, y luego todo hace ""clic"". No es una obra maestra, pero es entretenida y está bien hecha. Y, aunque me gusta el final, también habría preferido que lo elaborasen un poco más, a pesar de que entiendo que realmente no era necesario.","['Este dorama es sin duda tierno y muy nostálgico.', 'Las actuaciones de los chicos son muy buenas, la de ella tengo que admitir que me sacó un poco de quicio.', 'Al interpretar a dos mujeres diferentes exagera mucho cada una para que la distinción entre ellas sea obvia, pero dios mío, a veces la habría matado para insuflarle un poco de espíritu.Aparte de eso, la historia es conmovedora y te engancha, porque hasta más de la mitad de los capítulos no sabes muy bien qué está pasando, y luego todo hace ""clic"".', 'No es una obra maestra, pero es entretenida y está bien hecha.', 'Y, aunque me gusta el final, también habría preferido que lo elaborasen un poco más, a pesar de que entiendo que realmente no era necesario.']","['habria', 'mas', 'bien', 'dorama', 'duda', 'tierno', 'nostalgico', 'actuaciones', 'chicos', 'buenas']",4,4109,Romance,"Este dorama es sin duda tierno y muy nostálgico. Las actuaciones de los chicos son muy buenas, la de ella tengo que admitir que me sacó un poco de quicio. Al interpretar a dos mujeres diferentes exage..."
"En la descripción que da Netflix a esta serie, aparecen palabras como ""misterio"" ""thriller"" y ""suspenso"".Pero tiene menos de esas 3 categorías que la escena de María la del Barrio en la que Soraya se le va encima, enfurecida a la ""lisiada""...Telenovela, sí. El tema que presenta está tratado con la profundidad con la que se tratan las cosas en ese género.Inverosímil, tanto en las situaciones como en los personajes. Las actuaciones están acordes a la idea, es decir, exageradas y ya vistas mil veces.Si la encaras como eso, vas a estar bien.Yo que buscaba una miniserie que me mantuviera entretenida y expectante, he salido altamente desilusionada.Mea culpa: no pude ni ver los últimos tres capítulos, y los 3 anteriores a esos los vi a mayor velocidad...Que no digan que le di una oportunidad....","['En la descripción que da Netflix a esta serie, aparecen palabras como ""misterio"" ""thriller"" y ""suspenso"".Pero tiene menos de esas 3 categorías que la escena de María la del Barrio en la que Soraya se le va encima, enfurecida a la ""lisiada""...Telenovela, sí.', 'El tema que presenta está tratado con la profundidad con la que se tratan las cosas en ese género.Inverosímil, tanto en las situaciones como en los personajes.', 'Las actuaciones están acordes a la idea, es decir, exageradas y ya vistas mil veces.Si la encaras como eso, vas a estar bien.Yo que buscaba una miniserie que me mantuviera entretenida y expectante, he salido altamente desilusionada.Mea culpa: no pude ni ver los últimos tres capítulos, y los 3 anteriores a esos los vi a mayor velocidad...Que no digan que le di una oportunidad....']",[],3,5480,Romance,"En la descripción que da Netflix a esta serie, aparecen palabras como ""misterio"" ""thriller"" y ""suspenso"".Pero tiene menos de esas 3 categorías que la escena de María la del Barrio en la que Soraya se ..."
"La empezé a ver porque quería reírme con una serie mala y resultó bastante digerible.Los personajes principales un poco flojos pero los antagonistas lo compensan. Zacarías (Sebastián Martinez) es el mejor del trío protagonista, Simón (Brown) o Lucía (Domínguez) están muy sobreactuados. Ambos últimos conocidos por Pasión de Gavilanes (2003) y que serán muy guapos pero la escuela de teatro se la saltaron.Si bien se habla de un tema serio, el tráfico de órganos, se trata muy superficialmente y sirve de excusa para hablar de los temas recurrentes en las novelas: corrupción, poder, infidelidad, violencia, y desigualdades sociales en Latinoamérica.Esta producción es mejor que la reciente ""las juanas"" que era una aberración y más creible que ""el dragón"", ambas de Netflix. Así que para una serie a tener de fondo mientras haces otras cosas es ok sin producir vergüenza ajena o risa.","['‘Pálpito’ es una serie/telenovela colombiana producida por Netflix.', 'La empezé a ver porque quería reírme con una serie mala y resultó bastante digerible.Los personajes principales un poco flojos pero los antagonistas lo compensan.', 'Zacarías (Sebastián Martinez) es el mejor del trío protagonista, Simón (Brown) o Lucía (Domínguez) están muy sobreactuados.', 'Ambos últimos conocidos por Pasión de Gavilanes (2003) y que serán muy guapos pero la escuela de teatro se la saltaron.Si bien se habla de un tema serio, el tráfico de órganos, se trata muy superficialmente y sirve de excusa para hablar de los temas recurrentes en las novelas: corrupción, poder, infidelidad, violencia, y desigualdades sociales en Latinoamérica.Esta producción es mejor que la reciente ""las juanas"" que era una aberración y más creible que ""el dragón"", ambas de Netflix.', 'Así que para una serie a tener de fondo mientras haces otras cosas es ok sin producir vergüenza ajena o risa.']","['serie', 'netflix', 'mejor', 'palpito', 'telenovela', 'colombiana', 'producida', 'empeze', 'ver', 'queria']",4,5481,Romance,‘Pálpito’ es una serie/telenovela colombiana producida por Netflix. La empezé a ver porque quería reírme con una serie mala y resultó bastante digerible.Los personajes principales un poco flojos pero ...
"Me atreví a ver esta ""SERIE"" sólo por ver qué había hecho Leonardo Padrón como escritor, y por ser venezolano. Pero me di duro contra la pared de la típica narrativa de la novela latinoamérica, y sobre todo la venezolana.Les confieso que la vi completa, tuve que hacer un duro ejercicio de autocontrol, para no ponerme a gritar frente a la tv, como una auténtica doña mientras ve su novela del momento, en este caso Pálpito. Y no es que gritara de emoción, si no de frustración a ver aquello que pudo ser una muy buena serie, ya que la historia; si Padrón la hubiera sabido cocinar mejor. Por citar solo el primer capítulo, vemos como el protagonista va trás los criminales que secuestraron a su esposa, y el tipo debe tener un sexto sentido para saber por dónde se han metido en ese enorme bosque, y llegar hasta donde han ido huyendo.","['Me atreví a ver esta ""SERIE"" sólo por ver qué había hecho Leonardo Padrón como escritor, y por ser venezolano.', 'Pensé que disfrutaría una serie como ya estamos acostumbrados en cualquiera de los servicios de streaming.', 'Pero me di duro contra la pared de la típica narrativa de la novela latinoamérica, y sobre todo la venezolana.Les confieso que la vi completa, tuve que hacer un duro ejercicio de autocontrol, para no ponerme a gritar frente a la tv, como una auténtica doña mientras ve su novela del momento, en este caso Pálpito.', 'Y no es que gritara de emoción, si no de frustración a ver aquello que pudo ser una muy buena serie, ya que la historia; si Padrón la hubiera sabido cocinar mejor.', 'Sería algo muy respetable, al estilo primera temporada de ""La casa de papel"" pero no, la historia se va diluyendo en un esquema absurdo de novela de los \'90.', 'Actuaciones en momentos hasta sobreactuadas.', 'Secuencias de acción ridículas y sin sentido.', 'Por citar solo el primer capítulo, vemos como el protagonista va trás los criminales que secuestraron a su esposa, y el tipo debe tener un sexto sentido para saber por dónde se han metido en ese enorme bosque, y llegar hasta donde han ido huyendo.', '¿En serio?', 'En pleno 2022 nos van a mostrar un guión así.Desde mi punto de vista una oportunidad para hacer algo grande para las masas.', 'Pero resulta que al parecer las masas les gusta algo tan burdo como esto.', 'Ya que tiene asegurada una segunda temporada, al ser la serie más vista hasta el momento en Netflix.']","['serie', 'ver', 'ser', 'novela', 'solo', 'padron', 'duro', 'hacer', 'momento', 'historia']",4,5482,Romance,"Me atreví a ver esta ""SERIE"" sólo por ver qué había hecho Leonardo Padrón como escritor, y por ser venezolano. Pensé que disfrutaría una serie como ya estamos acostumbrados en cualquiera de los servic..."
"Siempre estamos anuentes a las producciones latinas en cualquier plataforma de streaming, con una gran expectativa de un producto de calidad creado en nuestro continente, sin embargo, muchas veces esa ilusión nos explota en la cara.Y ""Pálpito"", la ""serie"" creada por Leonardo Padrón no es la excepción, su premisa es interesante: una mujer es secuestrada para robarle el corazón, éste es implantado en una mujer poderosa que quiere respuestas de cómo, cuándo y dónde consiguieron el órgano. El detalle es que el desarrollo de la trama es bastante intenso, te absorbe, sientes el nerviosismo puro de ver la crueldad que se plasma, lo que decepciona es que enciende el motor, arranca bien, pero no gana la carrera.Insisto, los primeros capítulos tiene una calidad inmejorable, sin embargo, baja muchísimo en su desarrollo y tramo final. No sólo por temas meramente de guion, la absurdez con la que se va desenvolviendo y la escaza objetividad del contenido, sino también por la cruda romantización del tráfico de órganos como si fuera una opción viable.Además de que es inestablemente dramática, unas veces las actuaciones son muy buenas, pero en otras insufribles. Decepcionante que Netflix la venta como un thriller psicológico cuando está muy lejos de serlo, es más bien esos melodramas dignos de culebrón venezolano.Valoro muchísimo el trabajo realizado, la producción se nota a leguas que es de alto nivel y que el presupuesto para crear el proyecto fue muy ostentoso, no obstante, el resultado es desabrido, gélido, que te deja un sinsabor inexplicable, cómo si se hubiese acelerado demasiado el final forzando a la serie a caer por el precipicio.En conclusión, no diré que es una mala serie, pero definitivamente dista mucho de la calidad prometida.","['Siempre estamos anuentes a las producciones latinas en cualquier plataforma de streaming, con una gran expectativa de un producto de calidad creado en nuestro continente, sin embargo, muchas veces esa ilusión nos explota en la cara.Y ""Pálpito"", la ""serie"" creada por Leonardo Padrón no es la excepción, su premisa es interesante: una mujer es secuestrada para robarle el corazón, éste es implantado en una mujer poderosa que quiere respuestas de cómo, cuándo y dónde consiguieron el órgano.', 'Simple, pero atrapante.', 'El detalle es que el desarrollo de la trama es bastante intenso, te absorbe, sientes el nerviosismo puro de ver la crueldad que se plasma, lo que decepciona es que enciende el motor, arranca bien, pero no gana la carrera.Insisto, los primeros capítulos tiene una calidad inmejorable, sin embargo, baja muchísimo en su desarrollo y tramo final.', 'No sólo por temas meramente de guion, la absurdez con la que se va desenvolviendo y la escaza objetividad del contenido, sino también por la cruda romantización del tráfico de órganos como si fuera una opción viable.Además de que es inestablemente dramática, unas veces las actuaciones son muy buenas, pero en otras insufribles.', 'Decepcionante que Netflix la venta como un thriller psicológico cuando está muy lejos de serlo, es más bien esos melodramas dignos de culebrón venezolano.Valoro muchísimo el trabajo realizado, la producción se nota a leguas que es de alto nivel y que el presupuesto para crear el proyecto fue muy ostentoso, no obstante, el resultado es desabrido, gélido, que te deja un sinsabor inexplicable, cómo si se hubiese acelerado demasiado el final forzando a la serie a caer por el precipicio.En conclusión, no diré que es una mala serie, pero definitivamente dista mucho de la calidad prometida.', 'En lo personal me entretuvo y la disfruté, pero las inconsistencias tan grandes que plasma te dejan muy decepcionado.', 'Cabe destacar que NO es necesaria una segunda temporada.', 'aunque ya Netflix confirmó que sí la harán.']","['calidad', 'serie', 'embargo', 'veces', 'mujer', 'desarrollo', 'plasma', 'bien', 'muchisimo', 'final']",4,5483,Romance,"Siempre estamos anuentes a las producciones latinas en cualquier plataforma de streaming, con una gran expectativa de un producto de calidad creado en nuestro continente, sin embargo, muchas veces esa..."
"Esta serie de producción Netflix es simplemente peor que cualquiera de esos culebrones colombianos de cuarta categoría que se suelen pasar por la TV abierta cuando no tienen nada para pasar.Telenovela barata y aún peor, barata, morbosa y aburrida.Típica producción para llenar la grilla de Netflix en donde sólo parece haber basuras o peores cosas.","['Esta serie de producción Netflix es simplemente peor que cualquiera de esos culebrones colombianos de cuarta categoría que se suelen pasar por la TV abierta cuando no tienen nada para pasar.Telenovela barata y aún peor, barata, morbosa y aburrida.Típica producción para llenar la grilla de Netflix en donde sólo parece haber basuras o peores cosas.']",[],1,5484,Romance,Esta serie de producción Netflix es simplemente peor que cualquiera de esos culebrones colombianos de cuarta categoría que se suelen pasar por la TV abierta cuando no tienen nada para pasar.Telenovela...
"Es una excelente crítica a la corrupción en la política y en la policía colombiana.Para resaltar, la interpretación del personaje de Zacarías Cienfuegos (Muy buen actor),Greta Volcán (fuera de serie) y Valeria Duque.Sobre actuado: Braulio. Pero supongo que así se requería precisamente por lo que representa.La producción, magnífica. Confieso que por ser una serie colombiana esperaba una producción mediocre, pero me llevé un grata sorpresa. Felicitaciones!Es más...me negaba a verla, soy exigente con lo que veo, la comencé a ver accidentalmente y no pude despegarme del relato hasta su desenlace.","['Es una excelente crítica a la corrupción en la política y en la policía colombiana.Para resaltar, la interpretación del personaje de Zacarías Cienfuegos (Muy buen actor),Greta Volcán (fuera de serie) y Valeria Duque.Sobre actuado: Braulio.', 'Pero supongo que así se requería precisamente por lo que representa.La producción, magnífica.', 'Confieso que por ser una serie colombiana esperaba una producción mediocre, pero me llevé un grata sorpresa.', 'Felicitaciones!Es más...me negaba a verla, soy exigente con lo que veo, la comencé a ver accidentalmente y no pude despegarme del relato hasta su desenlace.', 'Muy buena.']","['colombiana', 'serie', 'produccion', 'excelente', 'critica', 'corrupcion', 'politica', 'policia', 'resaltar', 'interpretacion']",4,5485,Romance,"Es una excelente crítica a la corrupción en la política y en la policía colombiana.Para resaltar, la interpretación del personaje de Zacarías Cienfuegos (Muy buen actor),Greta Volcán (fuera de serie) ..."
